Created at	Closed at	Updated at	State	Labels	Comments	Number	Title	Url	Html url	Body	User name	User email	Milestone created at	Milestone due on	Milestone descrtiption	Milestone state	Milestone title
2011-09-05 17:45:59.0	2011-09-06 13:16:49.0	2014-06-12 13:58:33.0	closed	[]	24	6	Putting some beer in the freezer	https://api.github.com/repos/torvalds/linux/issues/6	https://github.com/torvalds/linux/pull/6	Thanks for sharing linux in github! The beer is free too! 	leobalter	null	null	null	null	null	null	
2011-09-05 18:46:20.0	2011-09-05 19:05:40.0	2014-06-12 06:22:06.0	closed	[]	11	7	proper license on Microsoft-related files	https://api.github.com/repos/torvalds/linux/issues/7	https://github.com/torvalds/linux/pull/7		Holek	null	null	null	null	null	null	
2011-09-05 21:17:10.0	2011-09-06 19:15:53.0	2014-06-13 07:23:48.0	closed	[]	2	8	Tinkered with the README.	https://api.github.com/repos/torvalds/linux/issues/8	https://github.com/torvalds/linux/pull/8	I was going through the readme, checking it out, and a few things kept distracting me. So I fixed 'em. 	Spaceghost	null	null	null	null	null	null	
2011-09-05 21:37:49.0	2011-09-06 15:21:38.0	2014-06-12 06:24:25.0	closed	[]	8	9	Removed extra 'an' in ext4 docs.	https://api.github.com/repos/torvalds/linux/issues/9	https://github.com/torvalds/linux/pull/9	There as an extra 'an' in this doc, so I removed it. 	smartinez87	null	null	null	null	null	null	
2011-09-06 13:43:12.0	2011-09-07 14:52:01.0	2014-06-13 07:44:20.0	closed	[]	0	10	[GIT PULL] v9fs fixes for 3.1-rc6	https://api.github.com/repos/torvalds/linux/issues/10	https://github.com/torvalds/linux/pull/10	(will resend on lkml as well, but figured I try the github way for fun)  First off, let me apologize.  Vacations and kernel.org disruptions have delayed me from getting you these bug fixes sooner in the cycle.  There are a couple of protocol "bugs" fixed here dealing with lack of foresight in developing some of the new protocol extensions.  Thanks.  The following changes since commit ddf28352b80c86754a6424e3a61e8bdf9213b3c7:    Linux 3.1-rc5 (2011-09-04 15:45:10 -0700)  are available in the git repository at:   git://github.com/ericvh/linux.git for-linus  Aneesh Kumar K.V (5):       fs/9p: Add fid before dentry instantiation       fs/9p: Don't update file type when updating file attributes       net/9p: Fix kernel crash with msize 512K       fs/9p: Add OS dependent open flags in 9p protocol       fs/9p: Always ask new inode in lookup for cache mode disabled  Jim Garlick (1):       fs/9p: Use protocol-defined value for lock/getlock 'type' field.   fs/9p/v9fs_vfs.h       |    6 ++-  fs/9p/vfs_file.c       |   36 ++++++++++---  fs/9p/vfs_inode.c      |  139 ++++++++++++++++++++++++++++++------------------  fs/9p/vfs_inode_dotl.c |   86 +++++++++++++++++++++++++-----  fs/9p/vfs_super.c      |    2 +-  include/net/9p/9p.h    |   29 ++++++++++  net/9p/trans_virtio.c  |   17 ++++--  7 files changed, 234 insertions(+), 81 deletions(-) 	ericvh	null	null	null	null	null	null	
2011-09-06 22:35:53.0	2011-09-07 04:35:16.0	2014-06-12 06:25:26.0	closed	[]	12	11	Added backlight support for some samsung laptops	https://api.github.com/repos/torvalds/linux/issues/11	https://github.com/torvalds/linux/pull/11	Models: - N120 - R468/R418 - X320/X420/X520 - R510/P510 - N350 - R470/R420 - R528/R728 - SQ1S 	xonatius	null	null	null	null	null	null	
2011-09-21 22:52:19.0	2011-09-22 17:38:48.0	2014-06-12 15:07:25.0	closed	[]	6	12	small cleanup in CREDITS	https://api.github.com/repos/torvalds/linux/issues/12	https://github.com/torvalds/linux/pull/12	Hi,  Here is what I did to the `CREDITS` file: - I removed some **tailing spaces** - I verified the **alphabetical order**, and found **3 errors** - I **corrected** them  Sorry for the microscopic commit.  Sincerely, Jan. 	jankeromnes	null	null	null	null	null	null	
2011-09-30 03:02:29.0	2011-09-30 03:07:29.0	2014-06-12 08:35:07.0	closed	[]	0	13	Fixed overflow bug in binary search for large input.	https://api.github.com/repos/torvalds/linux/issues/13	https://github.com/torvalds/linux/pull/13	(left+right)/2 can overflow in the case where left and/or right are large, where left + (right-left)/2 wouldn't. Example: left=2, right = 2^(32)-1. 	mutexlox	null	null	null	null	null	null	
2011-09-30 03:06:52.0	2011-09-30 14:42:54.0	2014-06-13 04:35:54.0	closed	[]	1	14	Fixed overflow bug in binary search.	https://api.github.com/repos/torvalds/linux/issues/14	https://github.com/torvalds/linux/pull/14	(left + right)/2 can overflow in cases where left + (right-left)/2 wouldn't. See, for example left=2 and right=2^32-1. 	mutexlox	null	null	null	null	null	null	
2012-01-04 12:26:00.0	2012-06-25 11:41:24.0	2014-06-12 06:24:45.0	closed	[]	1	15	drm/edid: Fix the HDTV hack yet more.	https://api.github.com/repos/torvalds/linux/issues/15	https://github.com/torvalds/linux/pull/15	Checking for just two variants of standard timings for 1366x768 isn't quite correct, let's check for ranges instead.  Signed-off-by: Andrew Shadura andrew@beldisplaytech.com 	andrewshadura	null	null	null	null	null	null	
